Problem Number,Title,Slug,Difficulty,Tags
"2441","Largest Positive Integer That Exists With Its Negative","largest-positive-integer-that-exists-with-its-negative","Easy","Array, Hash Table"
"2311","Longest Binary Subsequence Less Than or Equal to K","longest-binary-subsequence-less-than-or-equal-to-k","Medium","String, Dynamic Programming, Bit Manipulation"
"2099","Find Subsequence of Length K With the Largest Sum","find-subsequence-of-length-k-with-the-largest-sum","Easy","Array, Sorting"
"1903","Largest Odd Number in String","largest-odd-number-in-string","Easy","String, Math, Enumeration"
"2247","Maximum Cost of Trip With K Highways","maximum-cost-of-trip-with-k-highways","Hard","Graph, Shortest Path, Dynamic Programming, Heap (Priority Queue)"
"1845","Seat Reservation Manager","seat-reservation-manager","Medium","Design"
"1771","Maximize Palindrome Length From Subsequences","maximize-palindrome-length-from-subsequences","Hard","Dynamic Programming, String"
"1769","Minimum Number of Operations to Move All Balls to Each Box","minimum-number-of-operations-to-move-all-balls-to-each-box","Medium","Array, Greedy"
"1764","Form Array by Concatenating Subarrays of Another Array","form-array-by-concatenating-subarrays-of-another-array","Medium","Array, Simulation, Greedy"
"1727","Largest Submatrix With Rearrangements","largest-submatrix-with-rearrangements","Medium","Matrix, Dynamic Programming, Sorting"
"1698","Number of Distinct Substrings in a String","number-of-distinct-substrings-in-a-string","Medium","String, Trie, Hash Table"
"1612","Check If Two Expression Trees are Equivalent","check-if-two-expression-trees-are-equivalent","Medium","Tree, Depth-First Search, Recursion"
"1621","Number of Sets of K Non-Overlapping Line Segments","number-of-sets-of-k-non-overlapping-line-segments","Medium","Dynamic Programming, Counting"
"1605","Find Valid Matrix Given Row and Column Sums","find-valid-matrix-given-row-and-column-sums","Medium","Matrix, Greedy, Array"
"1540","Can Convert String in K Moves","can-convert-string-in-k-moves","Medium","String, Greedy"
"1515","Best Position for a Service Centre","best-position-for-a-service-centre","Hard","Geometry, Math"
"1487","Making File Names Unique","making-file-names-unique","Medium","Array, String, Hash Table, Simulation"
"1493","Longest Subarray of 1's After Deleting One Element","longest-subarray-of-1s-after-deleting-one-element","Medium","Array, Sliding Window"
"1467","Probability of a Two Boxes Having The Same Number of Distinct Balls","probability-of-a-two-boxes-having-the-same-number-of-distinct-balls","Hard","Math, Probability and Statistics, Enumeration, Dynamic Programming"
"1475","Final Prices With a Special Discount in a Shop","final-prices-with-a-special-discount-in-a-shop","Easy","Array, Stack, Simulation"
"1449","Form Largest Integer With Digits That Add up to Target","form-largest-integer-with-digits-that-add-up-to-target","Hard","Dynamic Programming, Math, Greedy"
"1391","Check if There is a Valid Path in a Grid","check-if-there-is-a-valid-path-in-a-grid","Medium","Breadth-First Search, Depth-First Search, Graph"
"1377","Frog Position After T Seconds","frog-position-after-t-seconds","Hard","Graph, Depth-First Search, Breadth-First Search, Probability and Statistics"
"1343","Number of Sub-arrays of Size K and Average Greater than or Equal to Threshold","number-of-sub-arrays-of-size-k-and-average-greater-than-or-equal-to-threshold","Medium","Array, Sliding Window"
"2269","Find the K-Beauty of a Number","find-the-k-beauty-of-a-number","Easy","String, Math, Simulation"
"1292","Maximum Side Length of a Square with Sum Less than or Equal to Threshold","maximum-side-length-of-a-square-with-sum-less-than-or-equal-to-threshold","Medium","Array, Matrix, Prefix Sum, Binary Search"
"1618","Maximum Font to Fit a Sentence in a Screen","maximum-font-to-fit-a-sentence-in-a-screen","Medium","Simulation, Math"
"2303","Calculate Amount Paid in Taxes","calculate-amount-paid-in-taxes","Easy","Array, Math, Simulation"
"1218","Longest Arithmetic Subsequence of Given Difference","longest-arithmetic-subsequence-of-given-difference","Medium","Array, Dynamic Programming, Hash Table"
"1954","Minimum Garden Perimeter to Collect Enough Apples","minimum-garden-perimeter-to-collect-enough-apples","Medium","Math, Simulation"
"1169","Invalid Transactions","invalid-transactions","Medium","String, Hash Table, Simulation"
"1246","Palindrome Removal","palindrome-removal","Hard","Array, Dynamic Programming"
"1273","Delete Tree Nodes","delete-tree-nodes","Medium","Tree, Binary Tree, Depth-First Search"
"1106","Parsing A Boolean Expression","parsing-a-boolean-expression","Hard","String, Simulation"
"1229","Meeting Scheduler","meeting-scheduler","Medium","Simulation, Greedy"
"1151","Minimum Swaps to Group All 1's Together","minimum-swaps-to-group-all-1s-together","Medium","Array, Sliding Window"
"898","Bitwise ORs of Subarrays","bitwise-ors-of-subarrays","Medium","Bit Manipulation, Array"
"882","Reachable Nodes In Subdivided Graph","reachable-nodes-in-subdivided-graph","Hard","Graph, Shortest Path, Heap (Priority Queue)"
"840","Magic Squares In Grid","magic-squares-in-grid","Medium","Matrix, Brute Force"
"622","Design Circular Queue","design-circular-queue","Medium","Design, Queue"
"793","Preimage Size of Factorial Zeroes Function","preimage-size-of-factorial-zeroes-function","Hard","Math"
"755","Pour Water","pour-water","Medium","Array, Simulation"
"562","Longest Line of Consecutive One in Matrix","longest-line-of-consecutive-one-in-matrix","Medium","Matrix, Dynamic Programming"
"502","IPO","ipo","Hard","Greedy, Heap (Priority Queue)"
"274","H-Index","h-index","Medium","Array, Sorting"
